fid,mode,region,agency,name,year_open,cost_usd,riders,status,notes,web,grade,construct,automated,year_clos,ffga_date,ffga_cost,ffga_shr,reference,limited,country,brt_rating,project,route_km,brt_year,Is it in the RTDB?,Does it look like rapid transport?,Does it have frequencies better than 20min,ADD?
11490,Regional Rail,Madrid ESP,Renfe,Cercanias C-2/C-7/C-8,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-2/C-7/C-8,33.06502097,,NO,NO,NO,
12850,Regional Rail,Madrid ESP,Renfe,Cercanias C-7,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-7,2.6922027,,NO,NO,NO,
16942,Regional Rail,Madrid ESP,Renfe,Cercanias C-7/C-8,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-7/C-8,1.136945982,,NO,NO,NO,
25850,Regional Rail,Madrid ESP,Renfe,Cercanias C-7,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-7,0.4879104123,,NO,NO,NO,
26023,Regional Rail,Madrid ESP,Renfe,Cercanias C-10,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-10,2.978230788,,NO,NO,NO,
29952,Regional Rail,Madrid ESP,Renfe,Cercanias C-3a/C-8,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-3a/C-8,2.218217829,,NO,NO,NO,
30011,Regional Rail,Madrid ESP,Renfe,Cercanias C-2,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-2,1.025021621,,NO,NO,NO,
45018,Regional Rail,Madrid ESP,Renfe,Cercanias C-3/C-3a,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-3/C-3a,0.8695771673,,NO,NO,NO,
45432,Regional Rail,Madrid ESP,Renfe,Cercanias C-1/C-2/C-7/C-8/C-10,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1/C-2/C-7/C-8/C-10,7.290995841,,NO,NO,NO,
45567,Regional Rail,Madrid ESP,Renfe,Cercanias C-4b,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-4b,17.75797426,,NO,NO,NO,
45568,Regional Rail,Madrid ESP,Renfe,Cercanias C-4,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-4,8.846781421,,NO,NO,NO,
45569,Regional Rail,Madrid ESP,Renfe,Cercanias C-2/C-8,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-2/C-8,23.821712,,NO,NO,NO,
45570,Regional Rail,Madrid ESP,Renfe,Cercanias C-3/C-3a,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-3/C-3a,47.79874152,,NO,NO,NO,
45571,Regional Rail,Madrid ESP,Renfe,Cercanias C-1/C-10,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1/C-10,7.408104974,,NO,NO,NO,
45572,Regional Rail,Madrid ESP,Renfe,Cercanias C-4,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-4,23.84159494,,NO,NO,NO,
45573,Regional Rail,Madrid ESP,Renfe,Cercanias C-3a/C-7/C-8,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-3a/C-7/C-8,18.81840121,,NO,NO,NO,
45574,Regional Rail,Madrid ESP,Renfe,Cercanias C-3a/C-8/C-10,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-3a/C-8/C-10,16.99352153,,NO,NO,NO,
45575,Regional Rail,Madrid ESP,Renfe,Cercanias C-3a,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-3a,33.88561325,,NO,NO,NO,
45576,Regional Rail,Madrid ESP,Renfe,Cercanias C-8,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-8,20.37175921,,NO,NO,NO,
45577,Regional Rail,Madrid ESP,Renfe,Cercanias C-5,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-5,45.03053856,,NO,NO,NO,
45578,Regional Rail,Madrid ESP,Renfe,Cercanias C-7/C-10,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-7/C-10,17.66668679,,NO,NO,NO,
45579,Regional Rail,Madrid ESP,Renfe,Cercanias C-9,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-9,18.41708655,,NO,NO,NO,
45588,Regional Rail,Malaga ESP,Renfe,Cercanias C-2,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-2,34.04545614,,NO,NO,NO,
45589,Regional Rail,Malaga ESP,Renfe,Cercanias C-1,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1,26.81416992,,NO,NO,NO,
45590,Regional Rail,Malaga ESP,Renfe,Cercanias C-1/C-2,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1/C-2,4.278503117,,NO,NO,NO,
38,Regional Rail,Murcia ESP,Renfe,Cercanias C-2,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-2,119.0681531,,NO,,NO,
45595,Regional Rail,San Sebastian ESP,Renfe,Cercanias C-1,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1,83.32498016,,NO,,NO,
45594,Regional Rail,Santander ESP,Renfe,Cercanias C-1,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1,89.25369171,,NO,,NO,
5687,Regional Rail,Sevilla ESP,Renfe,Cercanias C-4,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-4,10.88880423,,NO,NO,NO,
6390,Regional Rail,Sevilla ESP,Renfe,Cercanias C-1,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1,21.19811953,,NO,NO,NO,
7188,Regional Rail,Sevilla ESP,Renfe,Cercanias C-1,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1,25.34486923,,NO,NO,NO,
14215,Regional Rail,Sevilla ESP,Renfe,Cercanias C-2,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-2,2.230252852,,NO,NO,NO,
17874,Regional Rail,Sevilla ESP,Renfe,Cercanias C-1/C-2/C-3/C-4/C-5,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1/C-2/C-3/C-4/C-5,3.449717699,,NO,NO,NO,
24911,Regional Rail,Sevilla ESP,Renfe,Cercanias C-2/C-5,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-2/C-5,4.68069762,,NO,NO,NO,
36462,Regional Rail,Sevilla ESP,Renfe,Cercanias C-1/C-4/C-5,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1/C-4/C-5,5.924788537,,NO,NO,NO,
45596,Regional Rail,Sevilla ESP,Renfe,Cercanias C-3,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-3,49.55073366,,NO,NO,NO,
45597,Regional Rail,Sevilla ESP,Renfe,Cercanias C-1/C-3,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1/C-3,27.69241753,,NO,NO,NO,
45598,Regional Rail,Sevilla ESP,Renfe,Cercanias C-5,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-5,24.89813495,,NO,NO,NO,
45599,Regional Rail,Sevilla ESP,Renfe,Cercanias C-1/C-2/C-3/C-5,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1/C-2/C-3/C-5,3.003119442,,NO,NO,NO,
3405,Regional Rail,Tarragona ESP,Renfe,Rodalia RT2/R4,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Rodalia RT2/R4,12.4421013,,NO,,NO,
45608,Regional Rail,Tarragona ESP,Renfe,Rodalia RT1,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Rodalia RT1,17.70959378,,NO,,NO,
45609,Regional Rail,Tarragona ESP,Renfe,Rodalia RT2,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Rodalia RT2,36.64285615,,NO,,NO,
7177,Regional Rail,Valencia ESP,Renfe,Cercanias C-4,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-4,2.330057473,,NO,,NO,
45600,Regional Rail,Valencia ESP,Renfe,Cercanias C-1,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1,3.56740698,,NO,,NO,
45601,Regional Rail,Valencia ESP,Renfe,Cercanias C-1,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1,50.2432307,,NO,,NO,
45602,Regional Rail,Valencia ESP,Renfe,Cercanias C-2,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-2,68.63888684,,NO,,NO,
45603,Regional Rail,Valencia ESP,Renfe,Cercanias C-1/C-2,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1/C-2,12.78461293,,NO,,NO,
45604,Regional Rail,Valencia ESP,Renfe,Cercanias C-3,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-3,90.06774425,,NO,,NO,
45605,Regional Rail,Valencia ESP,Renfe,Cercanias C-5,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-5,51.69962416,,NO,,NO,
45606,Regional Rail,Zaragoza ESP,Renfe,Cercanias C-1,,,,existing,,,at grade,,,,,,,ADIF,0,ESP,,Cercanias C-1,16.99372882,,NO,,NO,
47311,Regional Rail,Geneve CHE,,CEVA,2019,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,CEVA,14.51437131,,NO,YES,NO DATA,
3722,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER E,,,620000,uc,Main tunnel between St Lazare-Nanterre opening in 2023.,https://www.rer-eole.fr/,subway; at grade,2016-2024,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER E Haussmann–Nanterre La Folie,8.582687604,,YES,YES,YES,
3743,Regional Rail,Paris - Ile-de-France FRA,RATP,RER B,1867,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Sceaux,9.678407444,,YES,YES,YES,
3744,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER B,1861,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de La Plaine à Hirson et Anor,2.177882467,,YES,YES,YES,
3745,Regional Rail,Paris - Ile-de-France FRA,RATP,RER B,1893,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Sceaux,3.815359411,,YES,YES,YES,
3746,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER E,1999,,,existing,,,subway,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER E,3.394086244,,YES,YES,YES,
3747,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER E,1849,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Compagnie du chemin de fer de Paris à Strasbourg,9.447902334,,YES,YES,YES,
3748,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1847,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Paris-Saint-Lazare à Saint-Germain-en-Laye Le Pecq-St Germain,2.327860449,,YES,YES,YES,
3749,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1874,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Paris-Bastille à Marles-en-Brie,1.956194265,,YES,YES,YES,
3750,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1843,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Paris-Saint-Lazare au Havre,13.90708441,,YES,YES,YES,
3751,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1994,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER A Ligne de la bifurcation de Neuville à Cergy-Préfecture,2.287624178,,YES,YES,YES,
3752,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER D,1859,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne directe de Saint-Denis à Creil,50.72048585,,YES,YES,YES,
3753,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER D,1847,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Paris-Lyon à Marseille-Saint-Charles,44.41617855,,YES,YES,YES,
3754,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER D,1897,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Corbeil-Essonnes à Montereau,24.18178025,,YES,YES,YES,
3755,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER D,1840,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Antenne de Juvisy à Corbeil,9.453505206,,YES,YES,YES,
3756,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER D,1865,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Villeneuve-Saint-Georges à Montargis,31.21652811,,YES,YES,YES,
3757,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1863,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Saint-Denis à Dieppe,15.44665156,,YES,YES,YES,
3758,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1865,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Brétigny à La Membrolle-sur-Choisille,24.45717811,,YES,YES,YES,
3759,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1883,,,closed,Replaced with T12 Tramway Express,,at grade,,,2023,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de la grande ceinture de Paris,10.80846558,,YES,YES,YES,
3760,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1902,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne des Invalides à Versailles-Rive-Gauche,7.888622305,,YES,YES,YES,
3761,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1840,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Paris-Montparnasse à Versailles-Rive-Gauche,1.970116574,,YES,YES,YES,
3762,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1886,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Choisy-le-Roi à Massy - Verrières,15.24833674,,YES,YES,YES,
4741,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER B,1860,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de La Plaine à Hirson et Anor,15.72431472,,YES,YES,YES,
4742,Regional Rail,Paris - Ile-de-France FRA,RATP/SNCF,RER B/D,1981,,,existing,,,subway,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER B/D Tunnel,1.694559881,,YES,YES,YES,
47445,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1969,,,existing,,,subway,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER A St Mande-Nation,2.093116724,,YES,YES,YES,
47446,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1859,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Paris-Bastille à Marles-en-Brie,3.11886728,,YES,YES,YES,
47447,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1970,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER A Etoile-La Defense,4.991744273,,YES,YES,YES,
47448,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1971,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER A Etoile-Auber,2.586996055,,YES,YES,YES,
47449,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1977,,,existing,,,subway,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER A Auber-Nation,6.530305216,,YES,YES,YES,
47450,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1972,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER A La Defense-Nanterre,2.108893078,,YES,YES,YES,
47451,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1837,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Paris-Saint-Lazare à Saint-Germain-en-Laye Nanterre-Le Pecq,7.987602165,,YES,YES,YES,
47452,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1859,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Paris-Bastille à Marles-en-Brie,9.58336366,,YES,YES,YES,
47453,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1977,,,existing,,,subway; elevated; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER A Vincennes-Noisy-le-Grand,7.9273339,,YES,YES,YES,
47454,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1872,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Paris-Bastille à Marles-en-Brie,2.85024075,,YES,YES,YES,
47455,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1980,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER A Noisy-le-Grand-Torcy,8.067679039,,YES,YES,YES,
47456,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1992,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER A Torcy-Marne la Vallee,11.2872899,,YES,YES,YES,
47457,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1988,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER A Iinterconnexion ouest,3.362116087,,YES,YES,YES,
47458,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1979,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER A Ligne de la bifurcation de Neuville à Cergy-Préfecture,13.41175197,,YES,YES,YES,
47459,Regional Rail,Paris - Ile-de-France FRA,RATP,RER A,1985,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER A Ligne de la bifurcation de Neuville à Cergy-Préfecture,3.79667516,,YES,YES,YES,
47460,Regional Rail,Paris - Ile-de-France FRA,RATP,RER B,1895,,,existing,,,subway,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Sceaux,1.625343686,,YES,YES,YES,
47461,Regional Rail,Paris - Ile-de-France FRA,RATP,RER B,1846,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Sceaux,6.930755714,,YES,YES,YES,
47462,Regional Rail,Paris - Ile-de-France FRA,RATP,RER B,1854,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Sceaux,14.03853099,,YES,YES,YES,
47463,Regional Rail,Paris - Ile-de-France FRA,RATP,RER B,1977,,,existing,,,subway,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER B Luxembourg-Chatelet,2.282160603,,YES,YES,YES,
47464,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER B,1976,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne d'Aulnay-sous-Bois à Roissy,12.16270815,,YES,YES,YES,
47465,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER B,1862,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de La Plaine à Hirson et Anor,9.033142177,,YES,YES,YES,
47466,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER B,1994,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne d'Aulnay-sous-Bois à Roissy,1.186247284,,YES,YES,YES,
47467,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER E,1849,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Compagnie du chemin de fer de Paris à Strasbourg,7.889494701,,YES,YES,YES,
47468,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER E,1857,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Paris-Est à Mulhouse-Ville,31.77023388,,YES,YES,YES,
47469,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1979,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Transversale Rive Gauche,0.8301268474,,YES,YES,YES,
47470,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1900,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Quai-d'Orsay à Paris-Austerlitz,3.663007496,,YES,YES,YES,
47471,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1901,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne des Invalides à Versailles-Rive-Gauche,3.314176816,,YES,YES,YES,
47472,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1877,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne des Invalides à Versailles-Rive-Gauche,3.146621485,,YES,YES,YES,
47473,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1877,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne des Invalides à Versailles-Rive-Gauche,0.6348248474,,YES,YES,YES,
47474,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1900,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne des Invalides à Versailles-Rive-Gauche,2.022579485,,YES,YES,YES,
47476,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1900,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Raccordement de Boulainvilliers,1.499122272,,YES,YES,YES,
47477,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1854,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Pont-Cardinet à Auteuil – Boulogne,3.766411147,,YES,YES,YES,
47479,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1862,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Raccordement des Épinettes,3.576326081,,YES,YES,YES,
47480,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1908,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de La Plaine à Ermont - Eaubonne,9.566540561,,YES,YES,YES,
47482,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1840,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Paris-Austerlitz à Bordeaux-Saint-Jean,19.25450894,,YES,YES,YES,
47483,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER D,1840,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Antenne de Juvisy à Corbeil,13.18747652,,YES,YES,YES,
47484,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER D,1857,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Liaison Villeneuve-Saint-Georges,3.973187267,,YES,YES,YES,
47485,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1843,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Paris-Austerlitz à Bordeaux-Saint-Jean,38.47114014,,YES,YES,YES,
47486,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER D,1987,,,existing,,,subway,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER D,4.043368483,,YES,YES,YES,
47487,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER D,1867,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de Villeneuve-Saint-Georges à Montargis,12.57076195,,YES,YES,YES,
48113,Regional Rail,Paris - Ile-de-France FRA,CDG Express,CDG Express,,,,uc,,https://cdgexpress.com/fr/,subway; at grade,2020-2027,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,CDG Express,3.804272821,,,,,
48114,Regional Rail,Paris - Ile-de-France FRA,CDG Express,CDG Express,,,,uc,,https://cdgexpress.com/fr/,subway; at grade,2020-2027,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,CDG Express,7.067277718,,,,,
52085,Regional Rail,Paris - Ile-de-France FRA,SNCF,Ligne V,1883,,,existing,Previously RER C; converted to independent line in 2023,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de la grande ceinture de Paris,15.13172969,,YES,YES,YES,
52086,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER C,1883,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,Ligne de la grande ceinture de Paris,7.703569747,,YES,YES,YES,
52674,Regional Rail,Paris - Ile-de-France FRA,SNCF,RER E,,,620000,uc,Main tunnel between St Lazare-Nanterre opening in 2023.,https://www.rer-eole.fr/,subway; at grade,2016-2026,,,,,,Yonah Freemark; OpenStreetMap contributors,0,FRA,,RER E Nanterre La Folie–Mantes,48.439588,,,,,
46857,Regional Rail,London GBR,TfL,Elizabeth Line,2015,,,existing,Part of Crossrail Project.,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,GBR,,Elizabeth Line Shenfield Branch,27.10149541,,NO,,YES,YES
46859,Regional Rail,London GBR,TfL,Elizabeth Line,2022,,,existing,,https://tfl.gov.uk/travel-information/improvements-and-projects/elizabeth-line,subway; at grade,2009-2022,,,,,,Yonah Freemark; OpenStreetMap contributors,0,GBR,,Elizabeth Line Central Segment,28.24922312,,NO,YES,YES,YES
46860,Regional Rail,London GBR,TfL,Elizabeth Line,2018,,,existing,,,subway; at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,GBR,,Elizabeth Line Heathrow Branch,24.69700097,,NO,,YES,YES
46861,Regional Rail,London GBR,TfL,Elizabeth Line,2020,,,existing,,,subway,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,GBR,,Elizabeth Line Heathrow Branch,2.351349459,,NO,,YES,YES
46862,Regional Rail,London GBR,TfL,Elizabeth Line,2019,,,existing,,,at grade,,,,,,,Yonah Freemark; OpenStreetMap contributors,0,GBR,,Elizabeth Line Reading Branch,38.76692608,,NO,,YES,YES
46867,Regional Rail,London GBR,Thameslink; Southeastern,Thameslink,1863,,,existing,,,elevated,1860-1863,,,,,,Yonah Freemark; OpenStreetMap contributors,0,GBR,,Thameslink - Holborn Viaduct-Herne Hill Line,4.874440062,,NO,,NO,
